,Presion,Tonelaje,Velocidad,%Solidos,Potencia,F80,Brazo,picos_intens
316,6144.83,3323.11,8.83,74.2,10869.21,67.6,2.01,0.0
317,6143.4,3293.34,8.83,74.47,10867.19,67.42,1.99,0.0
318,6139.66,3331.12,8.83,74.5,10795.39,67.46,2.0,0.0
319,6138.42,3289.88,8.84,74.5,10801.26,67.08,2.01,0.0
320,6135.47,3286.99,8.84,74.26,10883.07,66.57,2.01,0.0
321,6134.94,3310.82,8.84,74.28,10898.56,66.53,2.01,0.0
322,6134.42,3310.5,8.84,74.77,10907.88,66.64,2.02,0.0
323,6133.96,3295.82,8.83,74.61,10858.55,66.48,2.02,0.0
324,6133.76,3303.92,8.83,74.34,10939.52,66.87,2.01,0.0
325,6133.57,3311.03,8.83,74.77,10969.49,67.01,2.04,0.0
326,6135.65,3315.43,8.83,74.72,10909.46,66.59,2.02,0.0
327,6139.0,3283.07,8.83,74.73,11027.52,66.38,2.03,0.0
328,6142.58,3296.48,8.83,74.9,10997.48,66.6,2.02,0.0
329,6144.17,3292.91,8.83,74.72,11010.64,66.58,2.03,0.0
330,6148.89,3295.99,8.84,74.63,11048.64,66.86,2.01,0.0
331,6150.96,3300.1,8.84,74.47,10989.25,66.93,2.02,0.0
332,6154.49,3329.3,8.84,74.63,10961.5,66.53,2.03,0.0
333,6156.97,3320.2,8.84,74.51,10938.18,66.23,2.0,0.0
334,6159.03,3285.45,8.84,74.47,10853.08,66.25,2.01,0.0
335,6159.1,3282.14,8.84,74.33,10790.83,66.08,2.01,0.0
336,6158.58,3285.83,8.84,74.45,10895.36,65.61,2.0,0.0
337,6158.07,3316.77,8.84,74.39,10891.45,65.55,2.0,0.0
338,6153.93,3295.36,8.84,74.33,10843.17,65.4,1.99,0.0
339,6151.75,3309.42,8.83,74.17,10737.0,65.06,1.98,0.0
340,6147.0,3300.64,8.83,74.26,10696.45,65.14,1.97,1.0
341,6142.05,3300.01,8.83,74.31,10819.82,65.19,1.99,0.0
342,6137.5,3283.17,8.83,74.61,10790.25,65.11,1.99,0.0
343,6133.2,3297.01,8.83,74.17,10825.06,65.24,1.98,1.0
344,6129.53,3312.26,8.83,74.52,10828.43,65.32,1.97,1.0
345,6125.5,3307.04,8.84,74.94,10718.77,65.17,1.99,0.0
346,6122.12,3306.33,8.84,75.07,10695.31,64.97,1.98,0.0
347,6118.15,3293.22,8.83,75.21,10759.17,64.78,1.99,1.0
348,6116.21,3328.83,8.83,74.95,10699.73,64.28,1.99,0.0
349,6115.65,3284.73,8.83,74.69,10735.58,63.81,1.98,0.0
350,6115.25,3276.16,8.84,74.64,10698.52,63.75,1.99,1.0
351,6113.46,3291.91,8.83,74.78,10698.19,63.6,2.0,1.0
352,6113.12,3288.21,8.84,74.47,10794.25,63.56,1.99,1.0
353,6112.78,3322.26,8.83,74.33,10777.08,62.91,2.0,1.0
354,6112.44,3286.31,8.83,74.33,10771.54,62.66,1.98,1.0
355,5862.87,3907.07,8.59,80.48,9396.4,61.96,1.86,0.0
356,5862.64,3921.65,8.59,80.38,9365.87,61.78,1.86,0.0
357,5862.42,3910.08,8.59,80.48,9380.29,61.38,1.86,0.0
358,5862.19,3918.92,8.59,80.39,9342.36,60.72,1.86,0.0
359,5861.97,3912.72,8.59,80.99,9390.69,61.03,1.87,0.0
360,5864.0,3914.88,8.59,80.36,9393.59,60.6,1.86,0.0
361,5864.75,3907.52,8.59,80.25,9387.64,60.47,1.87,0.0
362,5863.66,3918.51,8.59,80.56,9381.24,60.61,1.86,0.0
363,5863.45,3924.29,8.59,80.44,9384.16,60.11,1.86,0.0
364,6329.6,3453.12,8.94,75.76,13255.12,79.49,2.34,0.0
365,6330.06,3446.43,8.94,75.41,13251.62,78.91,2.35,0.0
366,6330.51,3452.32,8.94,75.83,13195.62,78.56,2.32,0.0
367,6330.97,3454.27,8.94,76.15,13159.24,78.39,2.34,0.0
368,6331.42,3439.82,8.93,76.5,13190.44,78.36,2.33,0.0
369,6331.26,3445.53,8.93,76.33,13162.89,78.24,2.32,0.0
370,6330.98,3455.75,8.93,75.89,13212.6,77.88,2.34,0.0
371,6330.69,3450.64,8.94,76.11,13197.49,77.69,2.33,0.0
372,6330.41,3431.83,8.93,75.57,13188.91,77.16,2.33,0.0
373,6330.12,3432.2,8.93,75.71,13163.71,76.95,2.33,0.0
374,6329.28,3449.74,8.93,75.38,13251.65,76.62,2.32,0.0
375,6328.02,3460.24,8.94,75.66,13186.06,76.12,2.32,0.0
376,6326.76,3462.25,8.94,75.51,13164.8,75.83,2.33,0.0
377,6326.0,3471.89,8.94,75.42,13139.68,75.4,2.35,0.0
378,6326.0,3433.73,8.93,75.79,13173.73,75.03,2.34,0.0
379,6326.0,3439.38,8.93,75.76,13215.71,74.63,2.34,0.0
380,6326.0,3446.16,8.94,75.84,13286.08,74.17,2.35,0.0
381,6326.0,3433.94,8.93,75.72,13340.12,74.15,2.35,0.0
382,6326.01,3449.18,8.93,75.71,13424.75,74.38,2.37,0.0
383,6327.42,3433.44,8.94,75.73,13394.11,74.25,2.37,0.0
384,6329.04,3463.55,8.94,75.83,13482.26,74.35,2.39,0.0
385,6331.41,3443.96,8.94,76.23,13611.66,74.23,2.39,0.0
386,6335.24,3445.02,8.94,76.44,13610.26,74.33,2.4,0.0
387,6339.55,3444.96,8.93,76.01,13630.53,74.05,2.41,0.0
388,6345.09,3422.26,8.94,75.96,13589.16,74.24,2.4,0.0
389,6350.29,3441.66,8.94,75.69,13578.11,74.19,2.42,0.0
390,6356.64,3451.17,8.93,75.73,13742.45,74.0,2.41,0.0
391,6362.03,3317.12,8.93,75.58,13735.21,73.8,2.42,0.0
392,6367.63,3270.44,8.94,74.69,13736.34,73.85,2.41,0.0
393,6373.5,3243.68,8.94,74.75,13708.85,73.99,2.41,0.0
394,6379.4,3226.81,8.93,74.54,13878.27,74.06,2.43,0.0
395,6382.62,3237.21,8.93,74.61,13821.6,74.47,2.43,0.0
396,6385.84,3263.92,8.94,76.17,13824.43,75.08,2.43,0.0
397,6389.11,3266.47,8.93,75.72,13765.94,75.26,2.41,0.0
398,6392.63,3240.35,8.93,75.79,13790.02,75.28,2.41,0.0
399,6395.0,3224.65,8.93,75.27,13742.41,75.62,2.4,0.0
400,6395.0,3137.44,8.94,75.41,13699.13,75.9,2.4,0.0
401,6395.0,3078.07,8.94,74.58,13748.28,76.07,2.41,0.0
402,6393.95,3034.26,8.94,74.75,13771.97,76.17,2.39,0.0
403,6391.65,3035.91,8.94,74.26,13709.74,76.09,2.4,0.0
404,6389.34,3067.77,8.93,77.53,13757.84,75.67,2.42,0.0
405,6385.63,3053.48,8.93,76.05,13693.69,76.0,2.41,0.0
406,6381.67,3027.72,8.94,75.9,13653.77,75.85,2.39,0.0
407,6377.4,3053.6,8.94,75.85,13590.46,76.63,2.37,0.0
408,6371.47,3054.6,8.94,75.82,13496.68,76.58,2.39,0.0
409,6363.33,3040.52,8.94,75.79,13531.12,76.34,2.38,0.0
410,6356.35,3035.64,8.94,75.66,13493.49,75.96,2.37,0.0
411,6350.43,3026.63,8.94,75.42,13456.08,75.84,2.38,0.0
412,6342.54,3073.97,8.94,75.5,13456.25,75.88,2.36,0.0
413,6336.52,3051.97,8.94,75.85,13382.44,75.68,2.37,0.0
414,6329.89,3037.75,8.94,75.51,13326.38,75.82,2.36,0.0
415,6323.93,3039.25,8.94,75.63,13299.25,75.32,2.34,0.0
416,6317.05,3040.0,8.94,75.61,13216.9,74.93,2.33,0.0
417,6310.24,3060.01,8.94,75.92,13145.35,75.12,2.34,0.0
418,6303.42,3058.96,8.94,76.27,13114.24,74.9,2.33,0.0
